Time,x(t),dx(t),ddx(t)
0,0,0,0
0.050025013,1.018971586,-4.332613162,-68.90526659
0.100050025,0.589419888,-5.444143377,-22.64295412
0.150075038,0.301508541,-5.78125955,7.76126703
0.20010005,0.039199875,-5.835660836,36.10966268
0.250125063,-0.153184564,-2.783747593,37.42636724
0.300150075,-0.289593182,-1.045108744,43.736294
0.350175088,-0.326853364,1.041342095,38.04556782
0.4002001,-0.235272007,2.548844529,21.20555035
0.450225113,-0.075105269,2.667816204,2.785385423
0.500250125,0.064721619,2.853499926,-11.07947319
0.550275138,0.152650904,1.656844253,-15.98266966
0.60030015,0.225166906,0.826343428,-18.94743759
0.650325163,0.266808117,-0.084633751,-18.11539326
0.700350175,0.245639001,-0.863267235,-12.31256362
0.750375188,0.163976273,-1.117961279,-4.259832255
0.8004002,0.139508702,-1.562861909,2.124560918
0.850425213,0.045595923,-0.894210547,5.269602796
0.900450225,0.010434455,-0.713672995,8.771166327
0.950475238,-0.014328328,-0.273639918,8.727877341
1.00050025,-0.014399386,0.09566292,5.417286045
1.050525263,-0.00523481,0.420997034,4.047894413
1.100550275,0.015855315,0.436654451,0.42673864
1.150575288,0.040541646,0.431912823,-2.093939969
1.2006003,0.060101679,0.290214872,-3.724576747
1.250625313,0.057640502,0.073159837,-3.440257511
1.300650325,0.059668046,-0.094355366,-3.112430171
1.350675338,0.06663269,-0.292118639,-2.677915307
1.40070035,0.042390554,-0.33124497,-0.90120494
1.450725363,0.018564947,-0.252269027,0.279616294
1.500750375,0.008776968,-0.292298891,1.262553422
1.550775388,-0.004152143,-0.222646766,1.727985482
1.6008004,-0.013431128,-0.138848434,1.730778193
1.650825413,-0.01436731,-0.047949262,1.036838091
1.700850425,-0.019510076,-0.009379188,0.704826657
1.750875438,-0.01779661,0.009608704,0.089677582
1.80090045,-0.019408467,0.002424079,-0.402476094
1.850925463,-0.02049543,-0.026854023,-0.720976086
1.900950475,-0.022565445,-0.065099243,-0.789521486
1.950975488,-0.029362634,-0.112172827,-0.734736924
2.0010005,-0.038259575,-0.152393307,-0.496230998
2.051025513,-0.03371963,-0.122663406,-0.110839502
2.101050525,-0.043276671,-0.132680704,0.126731659
2.151075538,-0.055483684,-0.135813368,0.337471401
2.20110055,-0.056801563,-0.106775102,0.394858763
2.251125563,-0.045435104,-0.064015328,0.285862877
2.301150575,-0.065092191,-0.068668596,0.309680706
2.351175588,-0.07810318,-0.064024621,0.226668339
2.4012006,-0.06210552,-0.042923227,0.072730647
